,word,347781newsML.txt_tf,306379newsML.txt_tf,516888newsML.txt_tf,364308newsML.txt_tf,637058newsML.txt_tf,47681newsML.txt_tf,456216newsML.txt_tf,492068newsML.txt_tf,524096newsML.txt_tf,448512newsML.txt_tf,311197newsML.txt_tf,304275newsML.txt_tf,450789newsML.txt_tf,363833newsML.txt_tf,371679newsML.txt_tf,446630newsML.txt_tf,342913newsML.txt_tf,420901newsML.txt_tf,324868newsML.txt_tf,395717newsML.txt_tf,183833newsML.txt_tf,480205newsML.txt_tf,234581newsML.txt_tf,237257newsML.txt_tf,459922newsML.txt_tf,320093newsML.txt_tf,649805newsML.txt_tf,402225newsML.txt_tf,381783newsML.txt_tf,349837newsML.txt_tf,465251newsML.txt_tf,281175newsML.txt_tf,544122newsML.txt_tf,332767newsML.txt_tf,440528newsML.txt_tf,383271newsML.txt_tf,433408newsML.txt_tf,346245newsML.txt_tf,271584newsML.txt_tf,588023newsML.txt_tf,348416newsML.txt_tf,362892newsML.txt_tf,300106newsML.txt_tf,320020newsML.txt_tf,307168newsML.txt_tf,639874newsML.txt_tf,336525newsML.txt_tf,644446newsML.txt_tf,452353newsML.txt_tf,424504newsML.txt_tf,543300newsML.txt_tf,idf,347781newsML.txt_tf-idf,306379newsML.txt_tf-idf,516888newsML.txt_tf-idf,364308newsML.txt_tf-idf,637058newsML.txt_tf-idf,47681newsML.txt_tf-idf,456216newsML.txt_tf-idf,492068newsML.txt_tf-idf,524096newsML.txt_tf-idf,448512newsML.txt_tf-idf,311197newsML.txt_tf-idf,304275newsML.txt_tf-idf,450789newsML.txt_tf-idf,363833newsML.txt_tf-idf,371679newsML.txt_tf-idf,446630newsML.txt_tf-idf,342913newsML.txt_tf-idf,420901newsML.txt_tf-idf,324868newsML.txt_tf-idf,395717newsML.txt_tf-idf,183833newsML.txt_tf-idf,480205newsML.txt_tf-idf,234581newsML.txt_tf-idf,237257newsML.txt_tf-idf,459922newsML.txt_tf-idf,320093newsML.txt_tf-idf,649805newsML.txt_tf-idf,402225newsML.txt_tf-idf,381783newsML.txt_tf-idf,349837newsML.txt_tf-idf,465251newsML.txt_tf-idf,281175newsML.txt_tf-idf,544122newsML.txt_tf-idf,332767newsML.txt_tf-idf,440528newsML.txt_tf-idf,383271newsML.txt_tf-idf,433408newsML.txt_tf-idf,346245newsML.txt_tf-idf,271584newsML.txt_tf-idf,588023newsML.txt_tf-idf,348416newsML.txt_tf-idf,362892newsML.txt_tf-idf,300106newsML.txt_tf-idf,320020newsML.txt_tf-idf,307168newsML.txt_tf-idf,639874newsML.txt_tf-idf,336525newsML.txt_tf-idf,644446newsML.txt_tf-idf,452353newsML.txt_tf-idf,424504newsML.txt_tf-idf,543300newsML.txt_tf-idf
0,ITT,0.02122641509433962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.824046010856292,0.1660764483436477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Corp.,0.0023584905660377358,0.0028653295128939827,0.0,0.0036363636363636364,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735849056603774,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014903129657228018,0.0,0.0,0.0,0.0,0.0,0.009404388714733543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001364256480218281,0.0,0.0,5.626821433520073,0.013270805267736021,0.01612269751724949,0.0,0.0204611688491639,0.0,0.0,0.019402832529379563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021233288428377635,0.0,0.015761404575686477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008385724938181927,0.0,0.0,0.0,0.0,0.0,0.052916815989216985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007676427603710877,0.0,0.0
2,met,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1308988302963465,0.016818157618623458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01517212517084329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,with,0.01179245283018868,0.0057306590257879654,0.002758620689655172,0.005454545454545455,0.00683371298405467,0.0022222222222222222,0.0,0.0038412291933418692,0.024469820554649267,0.003395585738539898,0.00315955766192733,0.0038095238095238095,0.0070921985815602835,0.009596928982725527,0.009280742459396751,0.012589928057553957,0.017456359102244388,0.004594180704441042,0.009433962264150943,0.001869158878504673,0.0056022408963585435,0.008064516129032258,0.015065913370998116,0.011235955056179775,0.0035842293906810036,0.006072874493927126,0.013605442176870748,0.00931098696461825,0.009375,0.00546448087431694,0.0029806259314456036,0.009280742459396751,0.004395604395604396,0.004195804195804196,0.0054249547920434,0.0018975332068311196,0.003134796238244514,0.013888888888888888,0.0051635111876075735,0.004672897196261682,0.0058823529411764705,0.007822685788787484,0.002127659574468085,0.006097560975609756,0.0,0.008928571428571428,0.007142857142857143,0.0072992700729927005,0.002728512960436562,0.005272407732864675,0.0,3.952844999948401,0.0466137382069387,0.022652406876495137,0.010904399999857657,0.02156097272699128,0.02701260820010297,0.008784099999885336,0.0,0.015183783610557238,0.09672540782907997,0.013422224108483535,0.012489241705998107,0.015058457142660577,0.02803436170176171,0.037935172744226496,0.036685336426435275,0.049766034172012245,0.06900228179461049,0.018160084226409197,0.037290990565550956,0.007388495327006358,0.022144789915677317,0.031877782257648396,0.05955322033820567,0.04441398876346518,0.01416790322562151,0.024005131578634015,0.05378020408093063,0.03680488826767599,0.03705792187451626,0.021600245901357385,0.0117819523098313,0.036685336426435275,0.017375142856916048,0.016585363636147137,0.02144400542467487,0.007500654648858447,0.012391363636201884,0.054900624999283346,0.020410559380112228,0.018471238317515893,0.023252029411461185,0.030921864406376023,0.008410308510528514,0.02410271341431952,0.0,0.03529325892811072,0.02823460714248858,0.028852883211302197,0.010785388812956074,0.020841010544543417,0.0
4,financial,0.0047169811320754715,0.0,0.0,0.0018181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0018832391713747645,0.0,0.0,0.006072874493927126,0.0,0.0,0.003125,0.0,0.0029806259314456036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002336448598130841,0.0,0.0,0.0,0.0,0.009900990099009901,0.0017857142857142857,0.0,0.0,0.0,0.007029876977152899,0.0028011204481792717,5.339139361068292,0.02518461962768062,0.0,0.0,0.009707526111033258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043057575492486226,0.01005487638619264,0.0,0.0,0.032423923245354,0.0,0.0,0.016684810503338414,0.0,0.015913977231202064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012474624675393205,0.0,0.0,0.0,0.0,0.05286276595117121,0.009534177430479093,0.0,0.0,0.0,0.037533492872184826,0.014955572439967205
5,advisers,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022675736961451248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017211703958691911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.725433722188183,0.03172374397258577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015250416603601323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011575617422010642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,on,0.007075471698113208,0.0071633237822349575,0.004137931034482759,0.00909090909090909,0.01366742596810934,0.011111111111111112,0.006896551724137931,0.0038412291933418692,0.0016313213703099511,0.010186757215619695,0.00631911532385466,0.007619047619047619,0.0070921985815602835,0.003838771593090211,0.009280742459396751,0.01079136690647482,0.00997506234413965,0.013782542113323124,0.011320754716981131,0.016822429906542057,0.0028011204481792717,0.004838709677419355,0.009416195856873822,0.011235955056179775,0.017921146953405017,0.012145748987854251,0.006802721088435374,0.0074487895716946,0.0125,0.012750455373406194,0.01639344262295082,0.0069605568445475635,0.004395604395604396,0.019580419580419582,0.0054249547920434,0.007590132827324478,0.01567398119122257,0.013888888888888888,0.0189328743545611,0.018691588785046728,0.025490196078431372,0.003911342894393742,0.02127659574468085,0.010670731707317074,0.0,0.010714285714285714,0.0035714285714285713,0.012165450121654502,0.002728512960436562,0.0035149384885764497,0.01680672268907563,3.912023005428146,0.027679408057274618,0.02802308743143371,0.01618768140177164,0.03556384550389224,0.05346728481222979,0.04346692228253496,0.02697946900295273,0.015026976973475593,0.0063817667298990965,0.03985082857821541,0.02472052452087296,0.029805889565166825,0.027744844010128694,0.015017362784752958,0.036306478008613884,0.04221607559814546,0.03902267337085432,0.053917621820602314,0.04428705289163939,0.06580973280159498,0.01095804763425251,0.01892914357465232,0.03683637481570759,0.043955314667731976,0.07010793916537895,0.04751444945864145,0.02661240139747038,0.02913983616706254,0.04890028756785183,0.04988007475044995,0.06413152467914994,0.02722985850646041,0.017195705518365478,0.07659905185453714,0.021222547949881442,0.029692774234748736,0.061316975006710746,0.05433365285316869,0.0740658400339236,0.07312192533510553,0.09971823347169784,0.015301263384986231,0.08323453203038608,0.041744147923775954,0.0,0.04191453220101585,0.013971510733671949,0.047591520747301046,0.010674005471836688,0.013750520229975907,0.06574828580551506
7,Thursday,0.0023584905660377358,0.0,0.001379310344827586,0.0,0.0,0.0,0.0017241379310344827,0.0,0.0,0.0,0.001579778830963665,0.0,0.0,0.0019193857965451055,0.0,0.0,0.004987531172069825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005594405594405594,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.00196078431372549,0.0,0.002127659574468085,0.0,0.0,0.0017857142857142857,0.0,0.0072992700729927005,0.0,0.0017574692442882249,0.0,5.259096653394756,0.012403529842912158,0.0,0.007253926418475524,0.0,0.0,0.0,0.009067408023094406,0.0,0.0,0.0,0.008308209563024891,0.0,0.0,0.010094235419183792,0.0,0.0,0.026229908495734443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02942151973927136,0.0,0.0,0.0,0.0,0.0,0.024575218006517546,0.010311954222342658,0.0,0.011189567347648416,0.0,0.0,0.009391244023919207,0.0,0.038387566813100404,0.0,0.009242700621080414,0.0
8,to,0.04481132075471698,0.02865329512893983,0.028965517241379312,0.02,0.029612756264236904,0.035555555555555556,0.02586206896551724,0.026888604353393086,0.037520391517128875,0.030560271646859084,0.026856240126382307,0.03428571428571429,0.030732860520094562,0.028790786948176585,0.016241299303944315,0.02877697841726619,0.022443890274314215,0.022970903522205207,0.013207547169811321,0.018691588785046728,0.008403361344537815,0.020967741935483872,0.04143126177024482,0.03146067415730337,0.021505376344086023,0.018218623481781375,0.03854875283446712,0.0260707635009311,0.04375,0.0273224043715847,0.043219076005961254,0.04176334106728538,0.02197802197802198,0.02097902097902098,0.027124773960216998,0.018975332068311195,0.05329153605015674,0.03125,0.024096385542168676,0.02570093457943925,0.041176470588235294,0.024771838331160364,0.023404255319148935,0.0350609756097561,0.0,0.01607142857142857,0.03214285714285714,0.021897810218978103,0.03547066848567531,0.028119507908611598,0.03361344537815126,3.912023005428146,0.17530291769607256,0.11209234972573484,0.11331376981240147,0.07824046010856292,0.1158457837598312,0.13909415130411185,0.10117300876107274,0.10518883881432915,0.14678063478767922,0.11955248573464623,0.10506222921371008,0.13412650304325072,0.12022765737722434,0.1126302208856472,0.06353633651507429,0.11257620159505456,0.08780101508442223,0.0898627030343372,0.05166822837357929,0.07312192533510553,0.03287414290275753,0.08202628882349339,0.1620800491891134,0.12307488106964955,0.08412952699845476,0.07127167418796217,0.15080360791899883,0.10198942658471889,0.17115100648748138,0.10688587446524989,0.16907401960866802,0.16337915103876247,0.08597852759182739,0.08207041270128979,0.10611273974940721,0.07423193558687184,0.20847771502281656,0.12225071891962956,0.09426561458863003,0.1005426473357701,0.1610833002235119,0.09690800143824611,0.09155798523342469,0.13715934317812098,0.0,0.06287179830152377,0.12574359660304754,0.08566473734514189,0.13876207113387695,0.11000416183980725,0.13149657161103012
9,assess,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.824046010856292,0.018452938704849743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
