,word,147604newsML.txt_tf,196812newsML.txt_tf,219316newsML.txt_tf,245918newsML.txt_tf,271793newsML.txt_tf,288745newsML.txt_tf,245686newsML.txt_tf,186282newsML.txt_tf,14014newsML.txt_tf,376414newsML.txt_tf,198178newsML.txt_tf,202020newsML.txt_tf,184150newsML.txt_tf,213090newsML.txt_tf,153684newsML.txt_tf,195805newsML.txt_tf,288397newsML.txt_tf,10771newsML.txt_tf,261076newsML.txt_tf,101547newsML.txt_tf,253868newsML.txt_tf,154151newsML.txt_tf,395779newsML.txt_tf,141744newsML.txt_tf,13825newsML.txt_tf,174369newsML.txt_tf,126643newsML.txt_tf,195093newsML.txt_tf,240967newsML.txt_tf,231856newsML.txt_tf,138551newsML.txt_tf,360479newsML.txt_tf,156681newsML.txt_tf,15944newsML.txt_tf,119516newsML.txt_tf,124585newsML.txt_tf,195350newsML.txt_tf,120387newsML.txt_tf,202015newsML.txt_tf,103362newsML.txt_tf,33304newsML.txt_tf,150364newsML.txt_tf,350671newsML.txt_tf,191372newsML.txt_tf,184622newsML.txt_tf,165864newsML.txt_tf,419462newsML.txt_tf,252156newsML.txt_tf,155005newsML.txt_tf,219536newsML.txt_tf,268005newsML.txt_tf,219628newsML.txt_tf,idf,147604newsML.txt_tf-idf,196812newsML.txt_tf-idf,219316newsML.txt_tf-idf,245918newsML.txt_tf-idf,271793newsML.txt_tf-idf,288745newsML.txt_tf-idf,245686newsML.txt_tf-idf,186282newsML.txt_tf-idf,14014newsML.txt_tf-idf,376414newsML.txt_tf-idf,198178newsML.txt_tf-idf,202020newsML.txt_tf-idf,184150newsML.txt_tf-idf,213090newsML.txt_tf-idf,153684newsML.txt_tf-idf,195805newsML.txt_tf-idf,288397newsML.txt_tf-idf,10771newsML.txt_tf-idf,261076newsML.txt_tf-idf,101547newsML.txt_tf-idf,253868newsML.txt_tf-idf,154151newsML.txt_tf-idf,395779newsML.txt_tf-idf,141744newsML.txt_tf-idf,13825newsML.txt_tf-idf,174369newsML.txt_tf-idf,126643newsML.txt_tf-idf,195093newsML.txt_tf-idf,240967newsML.txt_tf-idf,231856newsML.txt_tf-idf,138551newsML.txt_tf-idf,360479newsML.txt_tf-idf,156681newsML.txt_tf-idf,15944newsML.txt_tf-idf,119516newsML.txt_tf-idf,124585newsML.txt_tf-idf,195350newsML.txt_tf-idf,120387newsML.txt_tf-idf,202015newsML.txt_tf-idf,103362newsML.txt_tf-idf,33304newsML.txt_tf-idf,150364newsML.txt_tf-idf,350671newsML.txt_tf-idf,191372newsML.txt_tf-idf,184622newsML.txt_tf-idf,165864newsML.txt_tf-idf,419462newsML.txt_tf-idf,252156newsML.txt_tf-idf,155005newsML.txt_tf-idf,219536newsML.txt_tf-idf,268005newsML.txt_tf-idf,219628newsML.txt_tf-idf
0,Drugstore,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9512437185814275,0.005644633883687754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,giant,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002066115702479339,0.0,0.0,0.0,0.0015267175572519084,0.0,0.0024813895781637717,0.0,0.0,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,0.0,0.0,0.001694915254237288,0.0,0.0,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.002369668246445498,0.0,0.0,1.6486586255873816,0.0023552266079819736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027431923886645287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034063194743540943,0.0,0.0,0.0,0.002517036069599056,0.0,0.004090964331482336,0.0,0.0,0.0023619751082913777,0.0,0.0,0.0,0.0,0.0,0.0034347054699737116,0.0,0.0,0.0,0.0,0.002794336653537935,0.0,0.0,0.0,0.0,0.0032582186276430463,0.0,0.0,0.0,0.003906773994282895,0.0,0.0
2,Revco,0.015714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9512437185814275,0.062090972720565296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,D.S.,0.0014285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9512437185814275,0.005644633883687754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Inc.,0.007142857142857143,0.003076923076923077,0.0,0.0,0.008948545861297539,0.0,0.0,0.0018115942028985507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002702702702702703,0.0,0.0,0.0,0.0,0.004580152671755725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025380710659898475,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8718021769015913,0.01337001554929708,0.005759391313543358,0.0,0.0,0.01674990762328046,0.0,0.0,0.0033909459726478106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005058924802436734,0.0,0.0,0.0,0.0,0.008573139741534007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004750766946450739,0.0,0.0,0.0,0.007311727253521841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,said,0.014285714285714285,0.016923076923076923,0.013774104683195593,0.020654044750430294,0.008948545861297539,0.025974025974025976,0.018292682926829267,0.012681159420289856,0.0196078431372549,0.01411764705882353,0.015047879616963064,0.011647254575707155,0.010327022375215147,0.00966183574879227,0.019189765458422176,0.014577259475218658,0.005509641873278237,0.011811023622047244,0.006550218340611353,0.016216216216216217,0.004132231404958678,0.011157601115760111,0.006745362563237774,0.005253940455341506,0.013740458015267175,0.005555555555555556,0.017369727047146403,0.008976660682226212,0.0019342359767891683,0.008595988538681949,0.0017605633802816902,0.005376344086021506,0.008368200836820083,0.02284263959390863,0.0030211480362537764,0.016666666666666666,0.00911854103343465,0.01171875,0.0125,0.009900990099009901,0.00847457627118644,0.015228426395939087,0.008896797153024912,0.016129032258064516,0.0031645569620253164,0.005928853754940711,0.015296367112810707,0.007936507936507936,0.010471204188481676,0.0071090047393364926,0.00471253534401508,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monday,0.0014285714285714286,0.0,0.0,0.0017211703958691911,0.0,0.0,0.0,0.0018115942028985507,0.0,0.0,0.0013679890560875513,0.0,0.0,0.0,0.0,0.0,0.0027548209366391185,0.0,0.0,0.0,0.0,0.001394700139470014,0.0,0.0,0.0015267175572519084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0,1.754019141245208,0.0025057416303502973,0.0,0.0,0.0030189658196991534,0.0,0.0,0.0,0.003177570908052913,0.0,0.0,0.0023994789893915292,0.0,0.0,0.0,0.0,0.0,0.0048320086535680665,0.0,0.0,0.0,0.0,0.0024463307409277654,0.0,0.0,0.002677891818694974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002283879090163031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00335376508842296,0.0,0.0,0.0,0.0,0.0
7,it,0.008571428571428572,0.003076923076923077,0.011019283746556474,0.0068846815834767644,0.0022371364653243847,0.0,0.003048780487804878,0.009057971014492754,0.0,0.009411764705882352,0.0027359781121751026,0.009983361064891847,0.0068846815834767644,0.0024154589371980675,0.006396588486140725,0.0058309037900874635,0.0,0.0,0.004366812227074236,0.0,0.006198347107438017,0.002789400278940028,0.006745362563237774,0.0070052539404553416,0.015267175572519083,0.001851851851851852,0.004962779156327543,0.008976660682226212,0.01160541586073501,0.0057306590257879654,0.0035211267605633804,0.005376344086021506,0.0041841004184100415,0.015228426395939087,0.006042296072507553,0.008333333333333333,0.001519756838905775,0.01953125,0.008333333333333333,0.007920792079207921,0.003389830508474576,0.005076142131979695,0.0,0.0,0.0015822784810126582,0.005928853754940711,0.0,0.010582010582010581,0.007853403141361256,0.0071090047393364926,0.0,0.0033112582781456954,0.19004360288786487,0.0016289451676102704,0.0005847495473472765,0.0020941443844392825,0.001308389692859655,0.00042515347402206905,0.0,0.0005794012283166613,0.0017214094464480514,0.0,0.001788645674238728,0.0005199551378600954,0.001897273905702478,0.001308389692859655,0.0004590425190528137,0.0012156307220972165,0.0011081259643607282,0.0,0.0,0.0008298847287679688,0.0,0.0011779562162470964,0.0005301076789061782,0.0012819130043026298,0.0013313036979885455,0.0029014290517231276,0.00035193259794049053,0.0009431444312052847,0.0017059569379521084,0.0022055350431860526,0.0010890750881826067,0.0006691676158023411,0.001021739800472392,0.0007951615183592671,0.002894065018596927,0.001148299715334531,0.0015836966907322072,0.00028882006517912595,0.003711789118903611,0.0015836966907322072,0.0015052958644583357,0.0006442156030097115,0.000964688339532309,0.0,0.0,0.00030070190330358363,0.001126740728584179,0.0,0.002011043416802803,0.0014924890279151691,0.0013510208736104137,0.0,0.0006292834532710757
8,agreed,0.002857142857142857,0.0015384615384615385,0.0,0.0,0.0022371364653243847,0.0,0.0,0.0,0.0,0.0,0.0013679890560875513,0.0033277870216306157,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015267175572519084,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.003770028275212064,0.0,1.6486586255873816,0.004710453215963947,0.002536397885519049,0.0,0.0,0.0036882743301731133,0.0,0.0,0.0,0.0,0.0,0.002255346957027882,0.005486384777329057,0.0,0.0,0.0,0.0,0.013625277897416377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002517036069599056,0.0,0.0,0.0,0.0031888948270548966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008631720552813516,0.0,0.006215489634636688,0.0
9,to,0.024285714285714285,0.02923076923076923,0.02203856749311295,0.020654044750430294,0.03355704697986577,0.012987012987012988,0.024390243902439025,0.019927536231884056,0.0196078431372549,0.018823529411764704,0.02188782489740082,0.024958402662229616,0.01721170395869191,0.016908212560386472,0.03411513859275053,0.01749271137026239,0.01928374655647383,0.017716535433070866,0.03275109170305677,0.03783783783783784,0.047520661157024795,0.029288702928870293,0.03541315345699832,0.02626970227670753,0.02900763358778626,0.025925925925925925,0.02729528535980149,0.03411131059245961,0.02127659574468085,0.024355300859598854,0.01936619718309859,0.053763440860215055,0.029288702928870293,0.030456852791878174,0.030211480362537766,0.027083333333333334,0.025835866261398176,0.02734375,0.03125,0.0297029702970297,0.025423728813559324,0.030456852791878174,0.04092526690391459,0.026881720430107527,0.028481012658227847,0.025691699604743084,0.04206500956022945,0.021164021164021163,0.013089005235602094,0.03317535545023697,0.02544769085768143,0.033112582781456956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
